regiÆo onde foi realizada a entrevista	idade: qual a sua idade (em anos completos)?	 rea	sexo	cor ou ra‡a	£ltima s‚rie escolar que concluiu com aprova‡Æo	at‚ que s‚rie o seu pai estudou	at‚ que s‚rie a sua mÆe estudou	renda total do chefe da fam¡lia no £ltimo mˆs	renda total de todos os moradores (parentes e agregados) no £ltimo mˆs	n£mero de moradores no domic¡lio (parentes e agregados)	no £ltimo mˆs, alguma pessoa deste domic¡lio recebeu rendimentos do bolsa fam¡li	religiÆo	mulheres que usam roupas que mostram o corpo merecem ser atacadas	as mulatas sÆo mais fogosas do que as mulheres brancas	d  para entender que um homem que cresceu em uma fam¡lia violenta agrida sua mul	os homens devem ser a cabe‡a do lar	casos de violˆncia dentro de casa devem ser discutidos somente entre os membros 	incomoda ver dois homens, ou duas mulheres, se beijando na boca em p£blico	se as mulheres soubessem como se comportar, haveria menos estupros	homem que bate na esposa tem que ir para a cadeia	‚ violˆncia falar mentiras sobre uma mulher para os outros	toda mulher sonha em se casar	o que acontece com o casal em casa nÆo interessa aos outros	quando h  violˆncia, os casais devem se separar	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais	d  pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo	um homem pode xingar e gritar com sua pr¢pria mulher	‚ da natureza do homem ser violento	em briga de marido e mulher, nÆo se mete a colher	a roupa suja deve ser lavada em casa	uma mulher s¢ se sente realizada quando tem filhos/as	a mulher casada deve satisfazer o marido na cama, mesmo quando nÆo tem vontade	piada de preto ‚ s¢ brincadeira, nÆo ‚ racismo	um casal de dois homens vive um amor tÆo bonito quanto entre um homem e uma mulh	mulher que ‚ agredida e continua com o parceiro gosta de apanhar	casamento de homem com homem ou de mulher com mulher deve ser proibido	a mulher que apanha em casa deve ficar quieta para nÆo prejudicar os filhos	a questÆo da violˆncia contra as mulheres recebe mais importƒncia do que merece	tem mulher que ‚ pra casar, tem mulher que ‚ pra cama
NORDESTE	50	urbano	masculino	parda	m‚dio completo	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	756	756	2	2	evang‚lica	discorda total	ns	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total	ns	concorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total
NORDESTE	36	urbano	feminino	parda	m‚dio completo	nÆo sabe	quarta s‚rie fundamental incompleta	1600	1600	4	2	cat¢lica	discorda total	ns	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total
NORDESTE	68	urbano	masculino	parda	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1300	3	2	cat¢lica	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda parcial	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total
SUL	65	urbano	feminino	parda	m‚dio completo	primeira s‚rie fundamental	primeira s‚rie fundamental	660	1000	3	2	cat¢lica	concorda parcial	discorda parcial	concorda parcial	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial
NORTE	52	urbano	masculino	parda	primeira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678		3	2	cat¢lica	concorda parcial	concorda total	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total
NORTE	29	urbano	feminino	preta	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	primeira s‚rie fundamental	600	600	4	2	cat¢lica	concorda parcial	concorda total	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	discorda total	discorda total	discorda parcial	concorda total
NORTE	39	urbano	feminino	parda	primeira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1000	7	1	cat¢lica	concorda parcial	ns	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	concorda parcial	discorda total
NORTE	20	urbano	masculino	parda	fundamental completa	m‚dio completo	fundamental completa	712	712	2	2	sem	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	discorda total	concorda total	discorda total	concorda parcial	concorda total	discorda total	concorda total	concorda total	discorda total	discorda parcial	concorda total
SUL	70	urbano	masculino	branca	quarta s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	600	1200	2	2	evang‚lica	discorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda total
SUL	42	urbano	feminino	branca	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	400	1000	3	2	cat¢lica	discorda parcial	concorda total	discorda parcial	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	ns
